TransactionID,TransactionDate,CustomerID,CustomerName,Gender,Age,City,State,ProductName,Category,SubCategory,Quantity,Price,PaymentMode,OrderStatus
TXN100000,13-08-2025,CUST1003,Samaira Subramanian,Female,41,Delhi,Delhi,Wooden Table,Furniture,Table,5,12000,Cash,Delivered
TXN100001,2025/01/31,CUST1262,Siya Andra,Male,59,Delhi,Delhi,Wooden Table,Furniture,Table,3,12000,Cash,Returned
TXN100002,2025/08/10,CUST1653,Ishaan Lala,Female,36,Pune,Maharashtra,iPhone 14,Electronics,Mobile,1,65000,Credit Card,Returned
TXN100003,19-12-2025,CUST1254,Seher Raman,Female,58,Kolkata,West Bengal,Sony Headphones,Electronics,Accessories,4,5000,UPI,Returned
TXN100004,01-05-2025,CUST1749,Trisha Buch,Female,57,Chennai,Tamil Nadu,Nike Shoes,Fashion,Footwear,1,4500,UPI,Delivered
TXN100005,2025/08/03,CUST1692,Shalv Boase,Female,40,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,4,4500,UPI,Returned
TXN100006,22-05-2025,CUST1645,Samar Karnik,Female,21,Mumbai,Maharashtra,iPhone 14,Electronics,Mobile,3,65000,Credit Card,Delivered
TXN100007,2025/07/05,CUST1173,Hansh Chaudhuri,Female,43,Delhi,Delhi,Nike Shoes,Fashion,Footwear,4,4500,Debit Card,Returned
TXN100008,2025/05/12,CUST1343,Pihu Bawa,Female,43,Hyderabad,Telangana,Adidas T-Shirt,Fashion,Clothing,3,1800,Debit Card,Delivered
TXN100009,24-05-2025,CUST1049,Chirag Banik,Female,60,Kolkata,West Bengal,HP Laptop,Electronics,Laptop,1,72000,Debit Card,Returned
TXN100010,2025/07/25,CUST1034,Advik Khalsa,Female,19,Bengaluru,Karnataka,Adidas T-Shirt,Fashion,Clothing,4,1800,Debit Card,Delivered
TXN100011,2025/07/20,CUST1819,Eshani Divan,Male,50,Kolkata,West Bengal,Wooden Table,Furniture,Table,2,12000,Cash,Delivered
TXN100012,2025/02/20,CUST1216,Hrishita Yadav,Male,22,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,2,4500,UPI,Delivered
TXN100013,2025/12/05,CUST1539,Umang Rajan,Female,44,Hyderabad,Telangana,Adidas T-Shirt,Fashion,Clothing,5,1800,UPI,Returned
TXN100014,2025/03/16,CUST1894,Navya Kapadia,Male,26,Pune,Maharashtra,HP Laptop,Electronics,Laptop,1,72000,UPI,Cancelled
TXN100015,2025/05/13,CUST1952,Kaira Bumb,Male,53,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,5,4500,Credit Card,Returned
TXN100016,2025/08/21,CUST1121,Suhana Arora,Female,59,Delhi,Delhi,Sony Headphones,Electronics,Accessories,3,5000,Cash,Cancelled
TXN100017,02-04-2025,CUST1082,Advika Khanna,Male,19,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,5,1800,Debit Card,Cancelled
TXN100018,2025/09/21,CUST1191,Badal Bhatti,Female,35,Delhi,Delhi,Wooden Table,Furniture,Table,4,12000,Debit Card,Delivered
TXN100019,10-06-2025,CUST1780,Nishith Gill,Male,27,Mumbai,Maharashtra,iPhone 14,Electronics,Mobile,4,65000,Credit Card,Cancelled
TXN100020,2025/07/08,CUST1272,Miraya Jain,Female,40,Hyderabad,Telangana,HP Laptop,Electronics,Laptop,1,72000,Credit Card,Returned
TXN100021,2025/06/25,CUST1780,Tejas Swamy,Female,30,Delhi,Delhi,Wooden Table,Furniture,Table,4,12000,UPI,Delivered
TXN100022,2025/08/23,CUST1321,Anya Mall,Female,25,Kolkata,West Bengal,HP Laptop,Electronics,Laptop,4,72000,UPI,Delivered
